Brand Name,Parent Company,Type of Product,Type of Material,Layers,Total Count,City,Provinces,Time of Audit,Specifics of Audit
PUTRI PANDA,PUTRI PANDA,FOOD PACKAGING,PET,SINGLE LAYER,6,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ABC,SANTOS JAYA ABADI,FOOD PACKAGING,PET,SINGLE LAYER,12,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KAPAL API,SANTOS JAYA ABADI,FOOD PACKAGING,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
KOPI GOOD DAY,SANTOS JAYA ABADI,FOOD PACKAGING,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
POP MIE,INDOFOOD,FOOD PACKAGING,PS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SEDAAP,WINGS,FOOD PACKAGING,PS,SINGLE LAYER,4,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PIKOPI,SANTOS JAYA ABADI,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
ROKOK AROMA,NIAGA NUSA ABADI,SMOKING MATERIAL,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MARCOPOLO,SUMATRA TOBACCO TRADING COMPANY,SMOKING MATERIAL,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GUDANG GARAM,GUDANG GARAM TBK.,SMOKING MATERIAL,OTHERS,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
DJARUM SUPER,DJARUM,SMOKING MATERIAL,OTHERS,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TOP COFFEE,HARUM,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TAPAL KOEDA,TAPAL KUDA KENCANA,SMOKING MATERIAL,OTHERS,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MISTER,SIANTAR TOP,FOOD PACKAGING,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PADIMAS,STANLY TRIJAYA MANDIRI,FOOD PACKAGING,PET,SINGLE LAYER,4,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
AOKA,INDONESIA BAKERY FAMILY,FOOD PACKAGING,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SARI ROTI,NIPPON INDOSARI CORPINDO,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
BALIMAS,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SARI WANGI,ANGRI WANGI INDONESIA,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MANIZ,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
SEDAAP,WINGS,FOOD PACKAGING,PET,SINGLE LAYER,6,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
INDOMIE,INDOFOOD,FOOD PACKAGING,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MINYAKITA,APICAL GROUP,FOOD PACKAGING,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PANTENE,COLGATE-PALMOLIVE,PERSONAL CARE,PET,SINGLE LAYER,3,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
HEAD & SHOULDERS,HEAD & SHOULDER,PERSONAL CARE,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
REJOICE,PHRONG INTERTRADE CO LTD,PERSONAL CARE,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
AQUA,DANONE,FOOD PACKAGING,HDPE,MULTI LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
MINYAK GORENG SMART,UNKNOWN,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
FRAISWELL,BINA KARYA PRIMA,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
TICTIC,SIANTAR TOP,FOOD PACKAGING,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
PEMBALUT CHARM,UNI-CHARM INDONESIA,PERSONAL CARE,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
BABY HAPPY,PROTEX,PERSONAL CARE,PET,SINGLE LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
EKOMIE,WINGS,FOOD PACKAGING,OTHERS,MULTI LAYER,1,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
NEXTAR,NABATI,FOOD PACKAGING,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
GARUDA,TUDUNG GROUP,FOOD PACKAGING,PET,SINGLE LAYER,2,CILACAP,CENTRAL JAVA,2023-09-09,COAST/SHORELINE
