Brand Name;Parent Company;If Parent Company does not appear automatically or needs correction, please add here.;Item Description;Type of Product;Type of Material;Layers;Total Count;City;Provinces;Time of Audit;Type of Audit;Specifics of Audit
PUTRI PANDA;Putri Panda;;FOOD;FP;PET;SL;6;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ABC;Santos Jaya Abadi;;COFFE;FP;PET;SL;12;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KAPAL API;Santos Jaya Abadi;;COFFE;FP;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
KOPI GOOD DAY;;Santos Jaya Abadi;COFFE;FP;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
POP MIE;Indofood;;NOODLES;FP;PS;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SEDAAP;Wings;;NOODLES;FP;PS;SL;4;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PIKOPI;;Santos Jaya Abadi;COFFE;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
ROKOK AROMA;;Niaga Nusa Abadi;CIGARETTE;SM;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MARCOPOLO;;Sumatra Tobacco Trading Company;CIGARETTE;SM;O;ML;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
GUDANG GARAM;Gudang Garam Tbk.;;CIGARETTE;SM;O;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
DJARUM SUPER;Djarum;;CIGARETTE;SM;O;ML;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TOP COFFEE;Harum;;COFFE;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
TAPAL KOEDA;;Tapal Kuda Kencana;CIGARETTE;SM;O;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MISTER;;Siantar Top;FRENCH FRIES;FP;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PADIMAS;Stanly Trijaya Mandiri;;BREAD;FP;PET;SL;4;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
AOKA;Indonesia Bakery Family;;BREAD;FP;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SARI ROTI;Nippon Indosari Corpindo;;BREAD;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
BALIMAS;;Unknown;BREAD;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SARI WANGI;Angri Wangi Indonesia;;BREAD;FP;PET;SL;1;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MANIZ;;Unknown;BREAD;FP;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
SEDAAP;Wings;;NOODLES;FP;PET;SL;6;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
INDOMIE;Indofood;;NOODLES;FP;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
MINYAKITA;;Apical Group;COOKING OIL;FP;PET;SL;2;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
PANTENE;Colgate-Palmolive;;SHAMPOO;PC;PET;SL;3;Cilacap;Central Java;09/09/2023;Outdoor;Coast/Shoreline
